,content,Type,sentiment,preprocessed,pos_tags
10,"Ну вот я не понимаю, почему остальные магазины не могут так четко работать!!!!!! Приятно удивляюсь. Кура молодчик, всем советую, не зря магаз первый в списке всегда",А,1,понимать почему остальной магазин мочь чётко работать приятно удивляться кура молодчик весь советовать зря магаз первый список,PART PART PRON PART VERB ADV ADJ NOUN PART VERB ADV ADV VERB ADV VERB NOUN NOUN PRON VERB PART ADV NOUN ADJ ADP NOUN ADV
11,"Качество не топ, но своих денег стоит. Найдено без проблем.",А,1,качество топ свой деньга стоить найти проблема,NOUN PART NOUN CCONJ DET NOUN VERB VERB ADP NOUN
12,"Клад — надёжный, места — живописные, комары — пидарасы. ГэнгБэнг как всегда: дорого, но охуенно. ",А,1,клад надёжный место живописный комар пидарас гэнгбэнг дорого охуенно,NOUN ADJ NOUN ADJ NOUN NOUN NOUN SCONJ ADV ADJ CCONJ ADJ
13,"есто найдено быстро, спрятано хорошо. Специфический запах и влага в пакете, испаряется моментально при попадании воздуха. В целом стафф рабочий. Всем респект.",А,1,есто найти быстро спрятать специфический запах влага пакет испаряться моментально попадание воздух целое стаффа рабочий весь респект,NOUN VERB ADV VERB ADJ ADJ NOUN CCONJ NOUN ADP NOUN VERB ADV ADP NOUN NOUN ADP NOUN NOUN ADJ PRON NOUN
14,"снято в касание, стафф как всегда бомба! беру не первый раз. доволен",А,1,снятой касание стаффа бомба брать первый довольный,VERB ADP NOUN NOUN SCONJ ADV NOUN VERB PART ADJ NOUN ADJ
15,"Клад в касание, стафф слабоват. UPD: он не слаб, а просто действует более мягко. Приятный и хороший стим без перегибов и сильных танцев челюстью. Отлично. ",А,1,клад касание стаффа слабоватый upd слабый просто действовать мягко приятный хороший стим перегиб сильный танец челюсть отлично,NOUN ADP NOUN NOUN ADJ PROPN PRON PART ADJ CCONJ PART VERB ADV ADV ADJ CCONJ ADJ NOUN ADP NOUN CCONJ ADJ NOUN NOUN ADJ
16,"В данном шопе работают адекватные ответливые люди, идут на встречу и всегда онлайн Работу данного шопа рекомендую смело.",А,1,данный шоп работать адекватный ответливый человек идти встреча онлайн работа данный шоп рекомендовать смело,ADP ADJ NOUN VERB ADJ ADJ NOUN VERB ADP NOUN CCONJ ADV VERB PROPN ADJ NOUN VERB ADV
17,"Всё хорошо! Был сначала ненаход, но магазин выслушал меня и выдал другой адрес. Вообще, всё на уровне, обращайтесь сюда и качество и условия достойные! 10/10/10 ",А,1,всё сначала ненаход магазин выслушать выдать адрес вообще всё уровень обращаться сюда качество условие достойный,PRON ADJ AUX ADV NOUN CCONJ NOUN VERB PRON CCONJ VERB ADJ NOUN ADV PRON ADP NOUN VERB ADV CCONJ NOUN CCONJ NOUN ADJ NUM NUM NUM
18,Как всегда все четко!!! 10/10/10,А,1,всё чётко,ADV ADV PRON ADJ NUM NUM NUM
19,"Снят в касание. Стафф без запаха и вкуса, сначала подумал что наебалово, но после двух дорог распидорасило конкретно. КМ красава, такого четкого описания я нигде не видел. Правда далековато было идти. В целом покупкой очень доволен. По всем пунктам 10 баллов. Обязательно загляну в этот магазин еще не раз! Всем удачи, а магазину процветания!",А,1,снятой касание стаффа запах вкус сначала подумать наебаловый дорога распидорасить конкретно км красава чёткий описание нигде видеть правда далековато идти целое покупка очень довольный весь пункт балл обязательно заглянуть магазин ещё весь удача магазин процветание,VERB ADP NOUN NOUN ADP NOUN CCONJ NOUN ADV VERB PRON ADV CCONJ ADP NUM NOUN VERB ADV NOUN NOUN DET ADJ NOUN PRON ADV PART VERB ADV ADJ AUX VERB ADP NOUN NOUN ADV ADJ ADP DET NOUN NUM NOUN ADV VERB ADP DET NOUN ADV PART NOUN DET NOUN CCONJ NOUN NOUN
20,"Все супер, возникли трудности. Магазин пошел на уступки! Стаф",А,1,всё супер возникнуть трудность магазин пойти уступка стафа,PRON NOUN VERB NOUN NOUN VERB ADP NOUN NOUN
21,Всё супер. Добра всем)),А,1,всё супер добро весь,PRON NOUN NOUN PRON
22,"Был не наход и крайне долгий диспут, но по результату пришли к решению. В целом всё норм",А,1,наход крайне долгий диспут результат прислать решение целое всё норма,AUX PART ADJ CCONJ ADV ADJ NOUN CCONJ ADP NOUN VERB ADP NOUN ADP NOUN DET NOUN
23,"Место 10,упаковка 10, качество достойное",А,1,место упаковка качество достойный,NOUN NOUN NUM NOUN ADJ
24,"Все гуд. только, лево и право перепутал. А так гуд. По качеству вроде норм. без лихних запахов и вкусов.",А,1,всё гуд левый право перепутать гуд качество вроде норма лихний запах вкус,PRON VERB PART ADV CCONJ NOUN VERB CCONJ ADV NOUN ADP NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN
25,"Всё нашлось, квест интересный, км красава. 7 баллов из-за меньшего веса чем заявлено, ровно 5 вместе с жиром, в остальном всё отлично!",А,1,всё найтись квест интересный км красава балл малый вес заявить ровно вместе жир остальной всё отлично,PRON VERB NOUN ADJ NOUN NOUN NUM NOUN ADP ADJ NOUN SCONJ VERB ADV NUM ADV ADP NOUN ADP ADJ PRON ADJ
26,"Место топчик,а став на 3 балла из 10",А,1,место топчик стать балл,NOUN NOUN CCONJ VERB ADP NUM NOUN ADP NUM
27,"На самом видном месте разместили! Возле лодочной станции ! Никогда больше там не закладывайте! Там куча людей, детей. Кладмену не зачёт!",А,1,видный место разместить возле лодочный станция большой закладывать куча человек ребёнок кладмена зачёт,ADP ADJ ADJ NOUN VERB ADP ADJ NOUN ADV ADV ADV PART VERB ADV NOUN NOUN NOUN NOUN PART NOUN
28,"Бляяя! Чувакиии! Стафф просто чумавой! 10 из 10! По самым строгим меркам! Камни твёрдые как орех! Заходит как к себе домой! Ничего не жжёт! Нет противного запаха. Цвет белоснежный! Советую брать большой вес. Там и камни покрупнее и в деньгах выгоднее! Кладмену РЕСПЕКТ отдельный все по полочкам разложил. С забором вообще не бывает проблем в этом магазине! Всем советую! Высшее качество! Гидротест соответствует! Магаз решает все в пользу клиента! Не знаю, то-ли кладмены сытые. То-ли система контроля у них какая-то налаженная. В общем не бодяжат. Одним словом надёжно. Как в запазухе у Х! Gang bang rulit! ",А,1,бляять чувакиия стаффа просто чумава самый строгий мерка камень твёрдый орех заходить домой жечь противный запах цвет белоснежный советовать брать большой вес камень крупный деньга выгодный кладмена респект отдельный всё полочка разложить забор вообще бывать проблема это магазин весь советовать высокий качество гидротест соответствовать магаз решать всё польза клиент знать кладмена сытый система контроль наладить общий бодяжатый слово надёжно запазуха х gang bang rulit,VERB NOUN NOUN PART ADJ NUM ADP NUM ADP ADJ ADJ NOUN NOUN ADJ SCONJ NOUN VERB SCONJ ADP PRON ADV PRON PART VERB VERB ADJ NOUN NOUN ADJ VERB VERB ADJ NOUN ADV PART NOUN ADJ CCONJ ADP NOUN ADJ NOUN PROPN ADJ PRON ADP NOUN VERB ADP NOUN ADV PART VERB NOUN ADP DET NOUN PRON VERB ADJ NOUN NOUN VERB NOUN VERB PRON ADP NOUN NOUN PART VERB ADV NOUN ADJ ADV NOUN NOUN ADP PRON DET VERB ADP ADJ PART VERB NUM NOUN ADJ SCONJ ADP NOUN ADP PROPN PROPN PROPN PROPN
29,Не нашёл. Купон на 50% Дали. Магазин конечно старается,А,1,найти купон дать магазин стараться,PART VERB NOUN ADP NUM SYM VERB NOUN ADV VERB
30,"Спасибо, нашел. Фотографий много, определялся долго. Не в касание, и так далее. В целом неплохо, качество пойдёт, но есть лучше. Пацаны , надежно , качество на тройку",А,1,спасибо найти фотография определяться долго касание далее целое неплохо качество пойти хороший пацан надёжно качество тройка,NOUN VERB NOUN ADV VERB ADV PART ADP NOUN CCONJ ADV ADV ADP NOUN ADJ NOUN VERB CCONJ VERB ADJ NOUN ADV NOUN ADP NOUN
31,"К сожалению ненаход, но проблему уладили)",А,1,сожаление ненаход проблема уладить,ADP NOUN NOUN CCONJ NOUN VERB
32,"Забрал в касание, ещё не пробовал. Сам амф белоснежный. Конкретный недовес, диспут не стал открывать. По «настроению» дополню позже.",А,1,забрать касание ещё пробовать амф белоснежный конкретный недовес диспут стать открывать настроение дополнить поздний,VERB ADP NOUN ADV PART VERB ADJ NOUN ADJ ADJ NOUN NOUN PART VERB VERB ADP NOUN VERB ADV
33,"Это не станция Подлипки Дачные, а Мытищи Строитель!!!!!",А,1,это станция подлипка дачный мытищи строитель,PRON PART NOUN PROPN ADJ CCONJ PROPN PROPN
34,"Район указан не верно, погрешность просто зашкаливает, уж лучше бы просто обозначили ""город"". Товар за свою цену сойдёт, вес не проверял. -3 за неточное место.",А,1,район указать верно погрешность просто зашкаливать хороший просто обозначить город товар свой цена сойти вес проверять неточный место,NOUN VERB PART ADV NOUN PART VERB PART ADJ AUX PART VERB NOUN NOUN ADP DET NOUN VERB NOUN PART VERB NUM ADP ADJ NOUN
35,"Амф средний , за свою цену пойдёт У кладмена географический кретинизм Находился около станций строители",А,1,амф средний свой цена пойти кладмена географический кретинизм находиться около станция строитель,NOUN ADJ ADP DET NOUN VERB ADP NOUN ADJ NOUN VERB ADP NOUN NOUN
36,"Качество хорошее, поиски были на изи. Вот только небольшой недовес огорчил. Разрешить ситуацию не смогли. Впредь буду знать какие фото предоставлять в таких случаях! Процветания вам",А,1,качество хороший поиск изя небольшой недовес огорчить разрешить ситуация смочь впредь знать фото предоставлять случай процветание,NOUN ADJ NOUN AUX ADP NOUN PART PART ADJ NOUN VERB VERB NOUN PART VERB ADV AUX VERB DET NOUN VERB ADP DET NOUN NOUN PRON
37,Поднял в касание! За это спс! А вот качество хворает,А,1,поднять касание это спс качество хворать,VERB ADP NOUN ADP PRON NOUN CCONJ PART NOUN VERB
38,"хорошее место, настолько хорошее, что пришлось ждать, пока люди, которые приехали на пикник и находились в 2 метрах от клада свалят. но это даже украсило вечер. погуляли, пофоткали. приехали домой, кинули на весы. недовес 0.14 с грамма. округлим до минус 2 звёзд, с учётом, что это была покупка по купону после ненахода.",А,1,хороший место настолько хороший прийтись ждать пока человек который приехать пикник находиться метр клад свалить это украсить вечер погулять пофоткать приехать домой кинуть весы недовес грамм округлить минус звезда учёт это покупка купон ненаход,ADJ NOUN ADV ADJ PRON VERB VERB SCONJ NOUN PRON VERB ADP NOUN CCONJ VERB ADP NUM NOUN ADP NOUN VERB CCONJ PRON PART VERB NOUN VERB VERB VERB ADV VERB ADP NOUN NOUN NUM ADP NOUN VERB ADP NOUN NUM NOUN ADP NOUN SCONJ PRON AUX NOUN ADP NOUN ADP NOUN
39,"Спасибо магазину и курьеру, всё забрал, но не без проблем. Локация за заброшенным домом. А на его территории сперва стояли двое диких алкодемонов с двумя собаками. Потом двое типов подошли, так же в говно. Только они ещё и чекали все железки рядом. Начиная с лестницы железной и углами этого дома. Но подождав 1.5 часика погуляв кругами, всё было забрано! В общем если бы не обстоятельства, было бы лучше! Но вы сработали на 11 из 10. Спасибо! Качество очень плавное и мягкое и с выраженным эффектом!!! ",А,1,спасибо магазин курьер всё забрать проблема локация забросить дом территория сперва стоять двое дикий алкодемон собака двое тип подойти говно ещё чекать всё железка рядом начинать лестница железный угол это дом подождать часик погулять круг всё забрать общий обстоятельство хороший сработать спасибо качество очень плавный мягкий выраженный эффект,NOUN NOUN CCONJ NOUN PRON VERB CCONJ PART ADP NOUN NOUN ADP VERB NOUN CCONJ ADP DET NOUN ADV VERB NUM ADJ NOUN ADP NUM NOUN ADV NUM NOUN VERB ADV PART ADP NOUN PART PRON ADV PART VERB DET NOUN ADV VERB ADP NOUN ADJ CCONJ NOUN DET NOUN CCONJ VERB NUM NOUN VERB NOUN PRON AUX VERB ADP ADJ SCONJ AUX PART NOUN AUX AUX ADJ CCONJ PRON VERB ADP NUM ADP NUM NOUN NOUN ADV ADJ CCONJ ADJ CCONJ ADP VERB NOUN
40,"все сняли клад не старый вроде и гидра тест а кач не дотягивает чтотни мурашек ни искр из глаз даже спать захотелось но вцелом подпирает мягенько только, надеялся на премиум кач...",А,1,всё снять клад старый вроде гидра тест кач дотягивать чтотня мурашка искра глаз спать захотеться вцелое подпирать мягенький надеяться премиум кач,PRON VERB NOUN PART ADJ ADV CCONJ ADJ NOUN CCONJ NOUN PART VERB NOUN NOUN CCONJ NOUN ADP NOUN PART VERB VERB CCONJ ADV VERB ADV PART VERB ADP NOUN NOUN
41,"Подняли на изи, стаф слабоват, от слова совсем",А,1,поднять изя стафа слабоватый слово,VERB ADP NOUN NOUN ADJ ADP NOUN ADV
42,"По месту как всегда все четко без проблем нашёл ,но конечно качество оставляет желать лучшего ,до этого все отлично было а щас планка снизилась Хотелось бы по лучше А так ставлю 7/10 Магазину респектище",А,1,место всё чётко проблема найти качество оставлять желать хороший это всё отлично планк снизиться хотеться хороший ставить магазин респектища,ADP NOUN SCONJ ADV PRON ADV ADP NOUN VERB CCONJ ADV NOUN VERB VERB ADJ ADP PRON PRON ADJ AUX CCONJ ADV NOUN VERB VERB AUX ADP ADV CCONJ ADV VERB NUM NUM PROPN NOUN
43,"Клад в касание, качество средне, ну норм вообщем. Брать можно, магаз норм, респект",А,1,клад касание качество средне норма вообщий брать магаз норма респект,NOUN ADP NOUN NOUN ADV PART NOUN ADV VERB ADV NOUN NOUN NOUN
44,"Подъём быстрый, код верный, качество нулевое, будто сода пищевая",А,1,подъём быстрый код верный качество нулевой сода пищевой,NOUN ADJ NOUN ADJ NOUN ADJ SCONJ NOUN ADJ
45,"нашли быстро, капнули и сразу нашли.понадобилось меньше минуты.кладмену респект.все отлично,место супер,безлюдное. кач на 7.вернемся еще. хотелось бы купончик.спасибо",А,1,наслать быстро капнуть сразу наслать понадобиться маленький минута кладмена респект всё отлично место супер безлюдный кач вернуться ещё хотеться купончик спасибо,VERB ADV VERB CCONJ ADV VERB VERB NUM NOUN NOUN NOUN ADV NOUN NOUN ADJ NOUN ADP VERB ADV VERB AUX NOUN NOUN
46,"Магнит был на этаже внутри лифта, лифт не работал пришлось повозится, в итоге забрал, пока еще не пробывал",А,1,магнит этаж внутри лифт лифт работать прийтись повозиться итог забрать пока ещё пробывать,NOUN AUX ADP NOUN ADV NOUN NOUN PART VERB VERB VERB ADP NOUN VERB SCONJ ADV PART VERB
47,"Полукасание, стафф качественный, не соник икс, но на твердую 7 тянет.",А,1,полукасание стаффа качественный соник икс твёрдый тянуть,NOUN NOUN ADJ PART NOUN NOUN CCONJ ADP ADJ NUM VERB
48,"Кладчик ошибся координатами, при диспуте выдал новые. Разница 500 метров... Дерево оказалось в воде, пришлось идти по воде - 6 Качество норм - 10 Итого 8",А,1,кладчик ошибиться координата диспут выдать новый разница метр дерево оказаться вода прийтись идти вода качество норма итого,NOUN VERB NOUN ADP NOUN VERB ADJ NOUN NUM NOUN NOUN VERB ADP NOUN VERB VERB ADP NOUN NUM NOUN NOUN NUM NUM
49,"Прибыв на место в корнях деревьев не обнаружил клад, магазин отказывается общаться никах кроме диспута. То есть вынуждает покупателя портить статистику, хотя можно было уточнить место кладо с фото у кладмена. Клиентоооиентированость -0",А,-1,прибыть место корень дерево обнаружить клад магазин отказываться общаться ник кроме диспут вынуждать покупатель портить статистика хотя уточнить место кладо фото кладмена клиентоооиентированость,VERB ADP NOUN ADP NOUN NOUN PART VERB NOUN NOUN VERB VERB NOUN ADP NOUN PRON VERB VERB NOUN VERB NOUN SCONJ ADV AUX VERB NOUN NOUN ADP NOUN ADP NOUN NOUN NUM
50,Всем добре время суток скажу так раньше очень часто брал в этом магазине ну последное время магазин начал вести себя очень не понятно так у меня три ненахода за один они дали купон ради этого купона решил взять чтоб купон исползовать ну к сожиленую там тоже оказалось пусто ребята если вам дорога время и безапасность то не советую !!,А,-1,весь добро время сутки сказать ранний очень часто брать это магазин последной время магазин начать вести очень понятно ненаход дать купон ради это купон решить взять купон исползовать сожилёный оказаться пусто ребята дорога время безапасность советовать,DET ADJ NOUN NOUN VERB ADV ADV ADV ADV VERB ADP DET NOUN PART ADJ NOUN NOUN VERB VERB PRON ADV PART ADV ADV ADP PRON NUM NOUN ADP NUM PRON VERB NOUN ADP DET NOUN VERB VERB SCONJ NOUN VERB PART ADP ADJ ADV PART VERB ADJ NOUN SCONJ PRON NOUN NOUN CCONJ NOUN PART PART VERB
51,"к сожалению, никакого эффекта не было. повелись на отзывы. в итоге осталось только разочарование от потраченных монет и времени на поиски",А,-1,сожаление никакой эффект повестись отзыв итог остаться разочарование потратить монета время поиск,ADP NOUN DET NOUN PART VERB VERB ADP NOUN ADP NOUN VERB PART NOUN ADP VERB NOUN CCONJ NOUN ADP NOUN
52,"Худший магазин. В людном месте , ненаход уже 2 раз ...",А,-1,плохой магазин людный место ненаход,ADJ NOUN ADP ADJ NOUN NOUN ADV NUM NOUN
53,"Не рекомендую данный магазин. Нужен был амфетами, брал за сутки до нужной даты. По указанным координатам нашел гашишь. Открыл диспут, в замене отказали и сказали что такого не может быть. Сидывал фото найденого клада, говорят что не их (но сильно сомневаюсь что какой то другой кладмен мог положить клад в ТОЧНО ТО ЖЕ САМОЕ МЕСТО) Неделю вел переписку, все бестолку. Если хотите кота в мешке, то заказывайте здесь.",А,-1,рекомендовать данный магазин нужный амфет брать сутки нужный дата указать координата найти гашить открыть диспут замена отказать сказать мочь сидывал фото найдёный клад говорить сильно сомневаться кладмена мочь положить клад точно самый место неделя вести переписка всё бестолк хотеть кот мешок заказывать,PART VERB ADJ NOUN ADJ AUX NOUN VERB ADP NOUN ADP ADJ NOUN ADP VERB NOUN VERB VERB VERB NOUN ADP NOUN VERB CCONJ VERB SCONJ DET PART VERB VERB VERB NOUN VERB NOUN VERB SCONJ PART PRON CCONJ ADV VERB SCONJ DET SCONJ ADJ NOUN VERB VERB NOUN ADP ADV DET PART ADJ NOUN NOUN VERB NOUN PART VERB SCONJ VERB NOUN ADP NOUN SCONJ VERB ADV
54,Стаф полное говно!!! Три чашки кофе рубят и то круче!!! Народ не берите это фуфло!!!,А,-1,стафа полный говно чашка кофе рубить крутой народ брать это фуфло,VERB ADJ NOUN NUM NOUN NOUN VERB CCONJ PART ADJ NOUN PART VERB PRON NOUN
55,"Да берите... Тфу.. сначала дубль, потом пустышка. Уже неохото заморачиваться. Не советую, по крайней мере в данной локации.",А,-1,брать тфу сначала дубль пустышка неохоть заморачиваться советовать крайний мера дать локация,CCONJ VERB NOUN ADV NOUN ADV NOUN ADV VERB VERB PART VERB ADP ADJ NOUN ADP ADJ NOUN
56,"Понравилось только то что информации о местонахождении клада много, и на этом все, во первых место палевное, вокруг на каждом доме камеры и пешеходов кроме меня там не было, почитал отзовы и решил взять, думал люди то не будут пиз... Но нет каково было моё удивление что он вообще не прёт! Не понимаю почему у вас такой рейтинг и почему люди пишут такие отзовы хорошие! Не ведитесь, кто со стажем проходите мимо!",А,-1,понравиться информация местонахождение клад это всё первый место палевной вокруг каждый дом камера пешеход кроме почитать отзов решить взять думать человек пиз каков удивление вообще переть понимать почему рейтинг почему человек писать отзов хороший вестись стаж проходить мимо,VERB PART PRON SCONJ NOUN ADP NOUN NOUN ADV CCONJ ADP PRON PRON ADP ADJ NOUN ADJ ADV ADP DET NOUN NOUN CCONJ NOUN ADP PRON ADV PART VERB VERB NOUN CCONJ VERB VERB VERB NOUN PART PART AUX NOUN CCONJ PART ADJ AUX ADJ NOUN SCONJ PRON ADV PART VERB PART VERB ADV ADP PRON DET NOUN CCONJ ADV NOUN VERB DET NOUN ADJ PART VERB PRON ADP NOUN VERB ADV
57,"Был ненаход, магазин не смотря на мой большой опыт, обвинил меня в том, что я не смог найти клад находящийся на маленьком заборчике снизу на магните))))) Когда я в лесах находил прикопы, с севшим телефоном по памяти))) извините. Но я разочарован в вашем магазине. Больше не приду",А,-1,ненаход магазин смотреть большой опыт обвинить смочь найти клад находиться маленький заборчик снизу магнит лес находить прикопа сесть телефон память извинить разочаровать ваш магазин большой прийти,AUX NOUN NOUN PART VERB ADP DET ADJ NOUN VERB PRON ADP PRON SCONJ PRON PART VERB VERB NOUN VERB ADP ADJ NOUN ADV ADP NOUN SCONJ PRON ADP NOUN VERB NOUN ADP VERB NOUN ADP NOUN VERB CCONJ PRON VERB ADP DET NOUN ADV PART VERB
58,"Итак: эта инфа для тех кто привык,так же как и я когда-то считать этот магаз тихой гаванью и всегда только лишь приятными воспоминаниями о квесте. Не знаю что у них произошло,но последние пять покупок это сплошной причем лютый недовес, так себе по качеству исполнение клады на отъе.. и даже по качеству стало хуже. Хотя здесь минус минимальный. Мне ничего не надо ни возмещения ущерба ни каких либо других бонусов. Я парни не обеднею. А вот потеря репутации для тех кто в теме все таки важна. Поэтому единомышленникам совет подстраховаться.",А,-1,итак инф привыкнуть считать магаз тихий гавань лишь приятный воспоминание квест знать произойти последний пять покупка это сплошной причём лютый недовес качество исполнение клад отъ качество стать плохой хотя минус минимальный возмещение ущерб либо бонус парень обедня потеря репутация тема всё таки важный поэтому единомышленник совет подстраховаться,ADV DET NOUN ADP DET PRON VERB ADV PART SCONJ PART PRON ADV VERB DET NOUN ADJ NOUN CCONJ ADV PART PART ADJ NOUN ADP NOUN PART VERB PRON ADP PRON VERB CCONJ ADJ NUM NOUN PRON ADJ CCONJ ADJ NOUN ADV PRON ADP NOUN NOUN NOUN ADP NOUN CCONJ PART ADP NOUN VERB ADJ SCONJ ADV NOUN ADJ PRON PRON PART ADV CCONJ NOUN NOUN CCONJ DET CCONJ ADJ NOUN PRON NOUN PART VERB CCONJ PART NOUN NOUN ADP DET PRON ADP NOUN PART PART ADJ ADV NOUN NOUN VERB
