content;Type;sentiment
Спасибо магазину и курьеру, всё забрал, но не без проблем. Локация за заброшенным домом. А на его территории сперва стояли двое диких алкодемонов с двумя собаками. Потом двое типов подошли, так же в говно. Только они ещё и чекали все железки рядом. Начиная с лестницы железной и углами этого дома. Но подождав 1.5 часика погуляв кругами, всё было забрано! В общем если бы не обстоятельства, было бы лучше! Но вы сработали на 11 из 10. Спасибо! Качество очень плавное и мягкое и с выраженным эффектом!!! ;А;1
все сняли клад не старый вроде и гидра тест а кач не дотягивает чтотни мурашек ни искр из глаз даже спать захотелось но вцелом подпирает мягенько только, надеялся на премиум кач...;А;1
Подняли на изи, стаф слабоват, от слова совсем;А;1
По месту как всегда все четко без проблем нашёл ,но конечно качество оставляет желать лучшего ,до этого все отлично было а щас планка снизилась Хотелось бы по лучше А так ставлю 7/10 Магазину респектище;А;1
Клад в касание, качество средне, ну норм вообщем. Брать можно, магаз норм, респект;А;1
Подъём быстрый, код верный, качество нулевое, будто сода пищевая;А;1
нашли быстро, капнули и сразу нашли.понадобилось меньше минуты.кладмену респект.все отлично,место супер,безлюдное. кач на 7.вернемся еще. хотелось бы купончик.спасибо;А;1
Магнит был на этаже внутри лифта, лифт не работал пришлось повозится, в итоге забрал, пока еще не пробывал;А;1
Полукасание, стафф качественный, не соник икс, но на твердую 7 тянет.;А;1
Кладчик ошибся координатами, при диспуте выдал новые. Разница 500 метров... Дерево оказалось в воде, пришлось идти по воде - 6 Качество норм - 10 Итого 8;А;1
Прибыв на место в корнях деревьев не обнаружил клад, магазин отказывается общаться никах кроме диспута. То есть вынуждает покупателя портить статистику, хотя можно было уточнить место кладо с фото у кладмена. Клиентоооиентированость -0;А;-1
Всем добре время суток скажу так раньше очень часто брал в этом магазине ну последное время магазин начал вести себя очень не понятно так у меня три ненахода за один они дали купон ради этого купона решил взять чтоб купон исползовать ну к сожиленую там тоже оказалось пусто ребята если вам дорога время и безапасность то не советую !!;А;-1
к сожалению, никакого эффекта не было. повелись на отзывы. в итоге осталось только разочарование от потраченных монет и времени на поиски;А;-1
Худший магазин. В людном месте , ненаход уже 2 раз ...;А;-1
Не рекомендую данный магазин. Нужен был амфетами, брал за сутки до нужной даты. По указанным координатам нашел гашишь. Открыл диспут, в замене отказали и сказали что такого не может быть. Сидывал фото найденого клада, говорят что не их (но сильно сомневаюсь что какой то другой кладмен мог положить клад в ТОЧНО ТО ЖЕ САМОЕ МЕСТО) Неделю вел переписку, все бестолку. Если хотите кота в мешке, то заказывайте здесь.;А;-1
Стаф полное говно!!! Три чашки кофе рубят и то круче!!! Народ не берите это фуфло!!!;А;-1
Да берите... Тфу.. сначала дубль, потом пустышка. Уже неохото заморачиваться. Не советую, по крайней мере в данной локации.;А;-1
Понравилось только то что информации о местонахождении клада много, и на этом все, во первых место палевное, вокруг на каждом доме камеры и пешеходов кроме меня там не было, почитал отзовы и решил взять, думал люди то не будут пиз... Но нет каково было моё удивление что он вообще не прёт! Не понимаю почему у вас такой рейтинг и почему люди пишут такие отзовы хорошие! Не ведитесь, кто со стажем проходите мимо!;А;-1
Был ненаход, магазин не смотря на мой большой опыт, обвинил меня в том, что я не смог найти клад находящийся на маленьком заборчике снизу на магните))))) Когда я в лесах находил прикопы, с севшим телефоном по памяти))) извините. Но я разочарован в вашем магазине. Больше не приду;А;-1
Итак: эта инфа для тех кто привык,так же как и я когда-то считать этот магаз тихой гаванью и всегда только лишь приятными воспоминаниями о квесте. Не знаю что у них произошло,но последние пять покупок это сплошной причем лютый недовес, так себе по качеству исполнение клады на отъе.. и даже по качеству стало хуже. Хотя здесь минус минимальный. Мне ничего не надо ни возмещения ущерба ни каких либо других бонусов. Я парни не обеднею. А вот потеря репутации для тех кто в теме все таки важна. Поэтому единомышленникам совет подстраховаться.;А;-1
1.Место.был указан Клад:Магнит 2.По факту это был Снежный прикоп 3.Курьер который работает на м.Лесная ужасен во всех проявлениях 4.Стаф не стоит своих денег 5.Магазин не клиентоориентированный;А;-1
ненаход, второй подряд;А;-1
Место на меге все перекопал трактор на меге не берите;А;-1
Специально не открыл диспут, чтобы оставить этот отзыв. Км сделал клад тупо у метро и у дороги, где одни люди, несмотря на это я умудрился поискать, но ненаход! Ублюдки, время и деньги отняли!;А;-1
На месте клада, вместо клада лежала бетонная каменюга (похожая на отколотый бордюр). Кладмен настаивал, что клад внутри, но это ложь, так как камень не разбивался и не был похож на муляж. Техподдержка вежливая, но бесполезная. Короче, меня развёл кладмен.;А;-1
Увы но очередной ненаход! Смысла открывать диспут не вижу, оператор пожуёт мозг пару дней и всё. Какую сторону выберет модератор мы так же, уже знаем. Друзья, дважды подумайте перед покупкой в данном шопе.;А;-1
Очередной ненаход в этом магазине, проблемы только тут, в других местах всё супер. Из четырех покупок 3 ненахода. Проблему потом решают, но столько теряешь времени и нервов. Решил в этот раз даже диспут не создавать, просто отказаться от этого магазина и забыть их как страшный сон. Думаю проблемы тут в КМ, клады просто отвратительные. А фото вообще ужас, никаких нормальных ориентиров, найти место по таким фото очень тяжело.;А;-1
Магазин перестал вызывать доверие потому что через раз клада на месте нет при этом магазин уверяет в том, что виноват покупатель. Товар действительно хороший, но гадать повезет в следующий раз или нет, найдете клад быстро или опять по заявленному адресу ничего не найдется, а магазин потом пошлет - так себе история. Рекомендую хорошо подумать прежде чем тут брать;А;-1
Тут ненаход к сожалению;А;-1
Клад отсутствует,не вернусь сюда;А;-1
В общем и целом ненаход. Даже диспут смысла нет открывать. Кура, из всего жилого массива выбрал середину поля с кучей поддонов в которых хрен что найдешь! До которых пока дойдешь будешь по щиколотку в воде.. Место дрянь. Когда кладешь, пали куда конкретно. По итогу взрыв на местности. Такого я года 3 не видел. И естественно достойная оценка. За исполнение и не наход.;А;-1
Брали в ОРДЖО! Тайник взорван до нас !!! Клада нет!!!!! Грустно - 5050т.р;А;-1
Подняли сразу но оно и не удевительно ибо такой шлак ( аспирин по-моему лутше прет;А;-1
Ненаход.;А;-1
С ЭТИМ Магазином одни проблемы, в топе ,надежный, модератора не пригласить, не спасибо к вам больше ни ходок... Каждая покупка в Рыбе, то проблема. Я плачу , я хочу видеть не 1 ,а 3 как покупал... Да и весы мы всегда берем с собой))))));А;-1
Качество просто НУЛЕВОЕ! Это все что угодно, но только не амфетамин. Подумайте, прежде чем затевать эпопею с подобным результатом, чистой воды развод.;А;-1
Клад не найден;А;-1
Ненаход. Клад был в лесу, до указанных координат не ведёт ни одна тропа. Я продрался через бурелом и нашел точку по навигатору, рядом ничего напоминающего фотографии из описания. Диспут не открываю, поскольку это мой первый заказ и я понимаю что он будет решен не в мою пользу. Но отзыв оставить обязан.;А;-1
"Открыли этот ""клад"", там просто молотые таблетки. Даже не стали мешать-бабяжить. ТУПО ТАБЛЕТКИ. Даже диспут не буду открывать. ЕШЬТЕ БОЛЬШЕ.";А;-1
Ненаход;А;-1
Три ненахода подряд;А;-1
Первый раз брала в этом магазине , и сразу ненаход. Зато предлагают за 50% купить у них еще раз))) Конченный мазин!;А;-1
Квэст норм, А ВОТ КАЧЕСТВО НИКАКОЕ!!! ТЕ КТО ПИЩЕТ ЧТО КАЧ ЗАЧЕТНЫЙ ПОХОДУ НОРМАЛЬНОГО ФЕДИ НИКОГДА НЕ ЮЗАЛИ!!! БЕЗ ПОНЯТИЯ ЧТО ЭТО НО АМФОМ ТАМ И НЕ ПАХЛО ДАЖЕ.;А;-1
Брал магнит, клада не было.;А;-1
Притсвую вас Все прошло замечательно)) Пришол увидел победил, после 4- ро суток это меня так вылечило что как будто как лунтик с Луны упал, Я родился !!! А когда уже все у меня было, я за прятал его в копилку свою куда ни кто-то за лезит))) и пока шол выпалов штаны искал не мог найти думал потерял чуть поже вывалилась в пути к дому я успокоился . Спасибо огромное магазину .) И ещё хочю поблагодарить кладмена красава;А;-1
Два ненахода подряд, фото загрузить не получается, фото клада летние и не кто не помог за два раза пятак просто так отдал;А;-1
Кинули, швыр, Тюмень на связи, зарека, магазин выдал пустой клад с зимними фотками. После обращения к оператору предложил мне купить ещё три пустых блять клада и только потом он готов выдать пустой перезаклад. Курьер чмо съел мой адрес,и ещё этот дебил не умеет прятать вес. Не советую здесь брать!!!!;А;-1
Как говорится- пришел, увидел. Победил!!)) все гуд.. Но по весу маловато,но радует наход;А;-1
Взял короче тут две позиции подряд, обе ненаход, причем всё было спрятано в одном подъезде, судите сами...так еще и ахинею начали нести в своё оправдание. Никому сюда не советую, магаз реально конченный, больше сюда не на ногой. Не видитесь на рейтинг ребята, магазин по сервису отстой..никакой Клиентооринтироанности.. Покупайте в проверенных магазах.. Кладмен дятел делать такие клады как и вся его команда.. Думайте сами.. А моём случае деньги на ветер;А;-1
Кладмен долбаеб;А;-1
Снято как всегда легко. Качество сильно испортилось. В лучшем случае амфа 50 процентов.;А;-1
Острожно, в Мурманске не брать! Три ненахода подряд, магазин шлет невнятные фОТКИ, ПО КОТОРЫМ НЕНАХОД, дает купоны, по которым тоже ненаходы. Не берите в Мурманске, ни вкоем случае.;А;-1
Ненаход, второй по счету. Место - в подъезде под глазками соседей которые клад и сняли. По словам магазина кладмен красавчик, а покупатели - дурни.;А;-1
Здравствуйте. В данном шопе всё прекрасно - бюджетный кладмен-любитель дверных косяков за 4К, бот-спиритуалист из поддержки,двое суток вызывающий его в диспут, с нулевым результатом. Снежный прикоп- сугроб,судя по фото разгар зимы,в реале- полностью растаявшая локация,с рассыпанными вокруг проталинами костров. Продают клады,по которым ВООБЩЕ НИЧЕГО не могут сказать. -7 тысяч денег за сутки. В общем,если кто то ищет где бы спустить денежных средств- то вам определённо стоит обратить внимание на данное гнездо гомосексуалистов. Всего доброго.;А;-1
Продают фотокарточку с зимним пейзажам, всего за 3К. 0 из 0;А;-1
Кладмен указал не тот подъезд, но это мелочь по сравнению с тем, насколько это мертвый стаф, парни не берите тут. Стаф 0 из 10 ниочем.;А;-1
Очередной магазин топ который занимается кидаловом. Возьми клад. Пролет. А потом сделай ещё на 12к покупок и тогда тебе дадут компенсацию. Можете пихануть эти 4 рубаса себе как можно глубже. А кладмэну желаю только скорейшего приема с такими кладами.;А;-1
Был ненаход, не по моей причине. магазин говорит еще три раза такую сумму закинь и поговорорим...не советую, о клиентах тут не беспокоятся!!!не берите;А;-1
Самый отвратительный клад который я брал, место на перекрестке с набережной, где не можешь остать один, чтоб на тебя никто не смотрел даже на 10 секунд. Естественно не на ход!!!!, все премерзло накапал только траву, уверенность что там вообще что-то было сразу отпадает. в диспуте отреагировали ложно на мои высказывание, никто не помог, звезд не ставлю, магаз говоно!;А;-1
Эффекта ноль,квест пиздец по колено в снегу .брали тайник ,по факту снежный прикоп в середине леса.Первый и последний раз здесь;А;-1
Все супер :) уже 6г скурено - бошка вышка .;М;1
В касание, но чтоб его произвести пришлось подождать мин 7, место людное.. по стафу 8 из 10;М;1
Возникла проблема. Магазин всё решил. Пацаны, ваш подход к решению конфликтов меня очень радует. Вы молодцы!;М;1
Орёл в гнезде,спасибо ребят,как всегда все класс!));М;1
Все на месте!!!;М;1
"Пока не подвезли любимого ""Джека"", стал искать иное предложение. Приглянулись 3 варианта. Посмотрел по отзывам и остановился на двух. Оформил в ином магазе заказ, но как увидел фото, понял, что, походу, не свезло. Потратил 2,5 часа ну и ни с чм вернулся =/. Тогда заглянул сюда. Фото сразу говорило о том, что если не будет дождей, квест будет простым и в моменте. Так и оказалось. === Итог:. Заказу 10, курьеру бонус, магазин в избранное =)";М;1
Всё круто, спасибо за сделку;М;1
Всё отлично!!!;М;1
В касание! Благодарочка.;М;1
Не много в стороне от метки на фото. Но всё найдено и снято быстро, Душевно накурило, заберу ещё обязательно. )) 10.10.10;М;1
всё тип топчик, умнички;М;1
Все на высшем уровне уже в который раз )) Забегу еще);М;1
Забрал в косание. Хороший прес. Запах на всю комнату) Всем спасибо.;М;1
нормальный стаффчик, но правдо там было меньше грамма!;М;1
Наход , пришлось побегать за 3г кировский );М;1
Вновь в касание, все на уровне, доволен как слон.;М;1
Всем привет! Квесты - легкие, клады - вкусные. Хороший магазин, всем добра!;М;1
Всем доброго времени суток, друзья хочу выразить благодарность магазину за понимание. Сделал 1-й заказ там было не соответствие, магазин дал перезаклад при чем очень быстро все решилось, но на втором закладке у меня не находит к сожалению (( но и здесь магазин пошел на встречу с разрешением будущих покупок! Братцы однозначно рекомендую данный магазин!!! Быть добру!);М;1
Забрал, спасибо большое, вы самые крутые, стаф лучший на площадке;М;1
Кладчик аристократ) , всё нашли, всё супер. До новых встреч;М;1
Всё ровненько, в касаху. Благодарочка магазу! 10ки однозначно!;М;1
Снято в касание, все круто;М;1
Ну что еще можно сказать? Это образцово-показательный клад. Приятнейшее место, гарантированный съем. По мне это место лучше, чем предыдущее... Куки меня берут сильнее, хочу опробовать амнезию, буду ждать, когда и она появится где-нибудь в наших краях) Поясной вам поклон, ждите еще) кладеру на чай, что осталось в кармане);М;1
Плюсы: Всё на месте и вес очень породывал. Минусы: Место если честно прям не очень, оживлённая улица и ещё в добавок ментовка со школай рядом. Товар ещё не пробывал но пахнет бомбически. Настёт качества не сомневаюсь. 9 из10 .Не твёрдая десятка из-за места.;М;1
Бошка, хорошая всем советую, по квесту, магнит касание.;М;1
все найдено, слабоват разве что стафф. Спасибо!;М;1
Был НЕДОВЕС, кладмен признал свою ошибку. Брал 10г на месте было 5г. магазин дал купон на скидку в размере (половина стоимости товара - 5489 руб.) Но я не могу на эту сумму взять для себя оставшиеся 5г, так как в магазине цена 7.500. (по курсу биткоина + комиссия будет больше) И сам купон можно использовать, если не будет превышать 50% от стоимости товара, то есть мне надо еще раз 10ку взять. В общем я остался в приличном минусе не из-за своей вины, не говоря о потраченном времени и испорченных планах. А по описанию все было четко, стафф по силе 7\10. сам магазин работает оперативно. Магазину ставлю 7 из 10 авансом !!!;М;1
"Магазин топовый но раньше было все гораздо лучше... Видимо есть на то причины. Отзывчивый идет на встречу выдает купоны, но увы мне почему-то не повезло дважды... Надеюсь что при следующей покупке все же смогу применить купон и приобрести желаемое! Видимо ""надежный магащин* понятие теперь весьма размытое. Просто дело случая повезет или не повезет! И ооооо Аллелуя слава тебе что хотя бы к красным не попала! Удачи вам и дальнецшего процветания!";М;1
Был ненаход, проблему решили;М;1
Курьеры хватит разбрасывать у подъездов,днём хер поднимешь ,все засыпало снегом ,ещё курьер наложал с адресом ,42 дом а не 44,вот и бегай по дворам с фотографией!!!!качество хоть и в лютом прессе ,но бомбовое!!!;М;1
День добрый, определённо качественный пресс достойный внимания) исполнение на вышке расход поменьше чем у подавляющего числа гариков. Отдельно спасибо за упаковку и грамотное, качественное описание 10/10/10 ;М;1
стаф жуткий пресс, хуй знает есть там грамм или нет,к сожалению нет весов, в целом пойдет, но дорого, в след раз возьму тут же и брошу на весы;М;1
Лично знаю мать кладмена, заходил как-то в гости) Стаф просто улёт, если вы пришли за этим сюда, то вы по-верному адресу, но если вы хотите лёгких квест, то здесь вы его не найдёте. Будьте осторожны, при покупке ТАЙНИКА, вам выдадут СНЕЖНЫЙ ПРИКОП. Но стаф просто бомба, сказать нечего.;М;1
Все на месте, стафф толю не удивил, по весу норм;М;1
Не наход, не повезло наверное, решение проблемы не устроило, это не первая сделка стафф хороший, но я не печатный станок, по этому стараюсь не возвращаться к магазинам когда они так расстраивают! Магазину исправления желаю! А пока что зайду только если вообще других не будет.. Всего хорошего:(;М;1
В лесу сделал клад и не предупредили об этом. А так админ магазина самый адекватный из всех. кладмену минус;М;1
пришлось поискать, фото было смазано, не было четкого указания. стафф пресс лютый, но толю пробивает. ставлю 8 за фотки;М;1
выбрался на поиски, долго плутал. оказалось все гораздо проще чем думал. Хотелось бы чтобы была еще один уровень отдаления. потому что найти с текущих фото ориентир был уж очень размыт. В остальном все нашел, буду пробовать, отпишу.;М;1
Кладмен поставил точку к соседнему дереву... 40 минут поисков магнита, спасибо опыту. стафф отличный, спасибо магазину, км пиздец;М;1
Снизил за локацию;М;1
снимаю два балла за белую изоленту в снегу. возился пздц, чудом нашёл. в остальном всё ровняк;М;1
как всегда отличная шишка и недовеса 0.2 с двух грамм, администрации как всегда нужно 5 фото и блять видео анпака в тик-токе и на ютубе, я такой хуйней заниматься не буду, но это третий недовес 0.2 подряд, учитывая что я засылаю 4000 за 2г, можно уже и выдать кладмену наконец корпоративной шишки...;М;1
какой-то очень сухой сильный пресс, залежавшееся что ли? так же это был скорее тайник,  чем магнит, так как пак валялся в дыре, может не примагнитился к чему-то, хз, но я почти не нашел тем не менее на месте, стафф нормальный;М;1
пришлось повозиться, по лифтам шариться, пока они пищат - не оч комфортно, а трава отличная;М;1
по кладу ок, стаф весу ок, но сам стаф в целом норм, но он спресован и довольно быстро закончался;М;1
Найдено быстро, по закладу вопросов не имею, кроме того, что камень размыло дождем, нашел изу испачканую в жидкий пластилин.. на весах вместо 1гр- 0,85гр, в диспуте объяснили, что нужны поэтапные фото распаковки на весах. С недовес впервые в диспуте поэтому пох на 0,15, но 15% недокладывать по такой цене это хамство и неуважение.За это и 7 а не 10;М;1
Клад снят в касание. Кладмен молодец. Но небольшой недовес, 0.9г вместо 1г.;М;1
Надо предупреждать что в падиках , а так все окей;М;1
приехал, забрал, но с домофон лажа пиздец + не каждый может дотянутся до клада торкнуло заебись;М;1
Все на месте. снято легко. качество стаффа норм. недовес в 0.1г считаю погрешностью;М;1
Клада на месте нет. Место банальное, метка странная, в перезакладе отказали;М;-1
Кладмен овощ. Закинул клад в обоссанном лифте в подъезде с камерой на входе. Место было максимально шкурное. Ненаход.;М;-1
огорчён ненаходом, магазин на помощь не пошёл, вёл довольно невежливый, агрессивный разговор. взяли другую позицию, нашли, так что отговаривать брать здесь никого не буду, но осадок от покупки остался плохой;М;-1
3 дня ждал ответа кладмена в итоге сказали прими решения без него есди не ответит до 22 00 он ответитл в 23 00 что мол координаты верные хотя на фото видно что такого места нет !!! и опятьнадо ждать ответ 2е суток!!;М;-1
